Type of User,Source,Device,Returning Visitor,New Visitor,Google CPC,TripAdvisor,Direct,DFA,Email,Referral,Desktop,Mobile,Tablet,Users,Sessions,No of Pages Visited,No of Transactions,Revenue
Returning Visitor,iberostarpoints.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,5,6,48,1,1035.28
Returning Visitor,email / email,desktop,1,0,0,0,0,0,1,0,1,0,0,96,123,388,1,1023.35
New Visitor,google / organic,desktop,0,1,0,0,0,0,0,0,1,0,0,425,425,1278,1,1018.56
New Visitor,grandhotelmencey.com / referral,tablet,0,1,0,0,0,0,0,1,0,0,1,1,1,7,1,1018.08
New Visitor,(direct) / (none),mobile,0,1,0,0,1,0,0,0,0,1,0,1924,1930,8733,1,1017.37
New Visitor,boavistaofficial.com / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,28,28,80,1,1008
New Visitor,grandhotelmirador.com / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,40,41,74,1,1005.9
Returning Visitor,iberostarpoints.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,1,1,10,1,1005.02
New Visitor,(direct) / (none),desktop,0,1,0,0,1,0,0,0,1,0,0,237,237,562,1,998.1
Returning Visitor,google / organic,tablet,1,0,0,0,0,0,0,0,0,0,1,8409,16198,73243,1,990
Returning Visitor,dfa / cpm,desktop,1,0,0,0,0,1,0,0,1,0,0,117,217,607,2,989.76
Returning Visitor,facebook.com / referral,desktop,1,0,0,0,0,0,0,1,1,0,0,38,55,157,1,950.4
New Visitor,yahoo / organic,desktop,0,1,0,0,0,0,0,0,1,0,0,365,365,1578,2,947.57
New Visitor,(direct) / (none),tablet,0,1,0,0,1,0,0,0,0,0,1,624,628,1997,1,939.6
Returning Visitor,newsletter / email,desktop,1,0,0,0,0,0,1,0,1,0,0,1,1,16,1,919.98
Returning Visitor,google / cpc,desktop,1,0,1,0,0,0,0,0,1,0,0,122,398,1048,4,913
New Visitor,insidertravel.nl / referral,desktop,0,1,0,0,0,0,0,1,1,0,0,76,76,245,1,905.68
Returning Visitor,google / (not set),desktop,1,0,0,0,0,0,0,0,1,0,0,3,6,34,1,904.8
Returning Visitor,dfa / cpm,tablet,1,0,0,0,0,1,0,0,0,0,1,201,459,1340,1,904.4
Returning Visitor,bing / organic,desktop,1,0,0,0,0,0,0,0,1,0,0,4,128,277,2,900.04
